Nome,Clube,Posição,Preço (C$),Pontos Média,Partidas,CA,DS,FC,DE,DP,FS,GS,SG,A,FF,FD,I,G,CV,V,PP,PS,PC,FT,GC
Calleri,SAO,Atacante,5.78,-0.77,3,,1.0,2.0,,,2.0,,,,2.0,1.0,,,1.0,,1.0,,,,
Luighi,PAL,Atacante,4.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Vitão,INT,Zagueiro,8.03,4.12,5,2.0,9.0,3.0,,,,,2.0,,,,,,,,,,,,
Cuello,CAM,Atacante,8.94,4.34,5,2.0,2.0,9.0,,,10.0,,,,7.0,4.0,,1.0,,,,,,,
Matheus Alexandre,SPT,Lateral,4.91,2.1,3,3.0,4.0,4.0,,,1.0,,1.0,,,,,,,,,,1.0,,
Arboleda,SAO,Zagueiro,7.88,4.0,3,1.0,2.0,3.0,,,2.0,,2.0,,,,1.0,,,,,,,,
Bastos,BOT,Zagueiro,11.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Alexander Barboza,BOT,Zagueiro,10.05,5.63,4,2.0,10.0,7.0,,,,,2.0,,2.0,,,,,,,,,,
Igor Jesus,BOT,Atacante,13.04,7.84,5,,1.0,5.0,,,11.0,,,,8.0,7.0,1.0,2.0,,,,,,1.0,
Cano,FLU,Atacante,9.95,3.56,5,1.0,1.0,4.0,,,6.0,,,,8.0,1.0,1.0,1.0,,,,,,,
De la Cruz,FLA,Meia,10.29,3.1,4,2.0,8.0,6.0,,,6.0,,,,,1.0,,,,,,,,,
Piquerez,PAL,Lateral,12.87,8.4,5,,4.0,3.0,,,3.0,,3.0,,4.0,1.0,,2.0,,,,,,,
Luis Zubeldía,SAO,Técnico,8.56,5.32,5,,,,,,,,,,,,,,,1.0,,,,,
Vegetti,VAS,Atacante,16.91,9.1,4,1.0,2.0,6.0,,,3.0,,,1.0,2.0,1.0,1.0,3.0,,,,,,1.0,
Canobbio,FLU,Atacante,6.24,2.08,5,1.0,6.0,7.0,,,6.0,,,,2.0,,1.0,,,,,,,,
Braithwaite,GRE,Atacante,16.02,5.77,3,1.0,3.0,3.0,,,4.0,,,,3.0,2.0,1.0,1.0,,,,,,,
Juan Vojvoda,FOR,Técnico,10.35,5.19,5,,,,,,,,,,,,,,,1.0,,,,,
Pochettino,FOR,Meia,9.0,0.0,1,,,,,,,,,,,,,,,,,,,,
Paulinho,PAL,Atacante,7.27,0.85,2,,,,,,2.0,,,,1.0,,1.0,,,,,,,,
Memphis Depay,COR,Atacante,19.65,10.58,4,1.0,4.0,1.0,,,6.0,,,1.0,4.0,2.0,,3.0,,,,,,,
Lyanco,CAM,Zagueiro,9.43,6.02,4,,10.0,7.0,,,4.0,,2.0,,,2.0,2.0,,1.0,,,,,,
Borré,INT,Atacante,11.45,2.56,5,,2.0,2.0,,,2.0,,,,2.0,,2.0,1.0,,,,,,,
Guilherme Arana,CAM,Lateral,10.39,4.37,3,1.0,3.0,3.0,,,1.0,,1.0,,1.0,1.0,,,,,,,,1.0,
Rony,CAM,Atacante,11.49,5.74,5,1.0,6.0,9.0,,,6.0,,,,4.0,8.0,4.0,1.0,,,,,,,
Gilberto,JUV,Atacante,4.23,-0.7,2,1.0,,3.0,,,1.0,,,,,,,,,,,,,,
Junior Alonso,CAM,Zagueiro,5.95,3.04,5,,1.0,3.0,,,2.0,,2.0,,3.0,1.0,,,,,,,,,
Soteldo,SAN,Atacante,11.43,0.6,2,1.0,,,,,2.0,,,,,1.0,,,,,,,,,
Willian Oliveira,VIT,Meia,3.73,1.07,3,1.0,1.0,2.0,,,5.0,,,,1.0,,,,,,,,,,
Bernard,CAM,Meia,4.5,1.34,5,1.0,5.0,1.0,,,1.0,,,,,,,,,,,,,,
Alan Franco,CAM,Meia,5.46,0.95,2,,1.0,2.0,,,2.0,,,,,,,,,,,,,,
Lourenço,CEA,Meia,4.72,2.27,3,,3.0,1.0,,,2.0,,,,2.0,,,,,,,,,,
John,BOT,Goleiro,10.92,4.94,5,1.0,1.0,,14.0,,,4.0,2.0,,,,,,,,,,,,
