Nome,Clube,Posição,Preço (C$),Pontos Média,Partidas,CA,DS,FC,DE,DP,FS,GS,SG,A,FF,FD,I,G,CV,V,PP,PS,PC,FT,GC
Guga,FLU,Lateral,7.25,4.25,2,,5.0,1.0,,,1.0,,,,1.0,,,,,,,,,,
Thiago Santos,FLU,Zagueiro,5.93,3.4,3,,,1.0,,,1.0,,2.0,,,,,,,,,,,,
Ganso,FLU,Meia,8.45,0.67,3,,,1.0,,,3.0,,,,1.0,,,,,,,,,,
Rayan Lucas,FLA,Meia,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Renato Augusto,FLU,Meia,7.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Lima,FLU,Meia,6.16,3.87,4,,1.0,1.0,,,7.0,,,,2.0,1.0,,1.0,,,,,,,
Ignácio,FLU,Zagueiro,8.09,5.75,2,,3.0,4.0,,,4.0,,1.0,,,1.0,,,,,,,,,
Otávio,FLU,Meia,7.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Marcelo Pitaluga,FLU,Goleiro,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Martinelli,FLU,Meia,8.07,4.64,5,,6.0,3.0,,,8.0,,,,1.0,2.0,1.0,1.0,,,,,,,
Freytes,FLU,Zagueiro,3.92,2.6,5,,1.0,2.0,,,2.0,,2.0,,,1.0,1.0,,,,,,,,
Paulo Baya,FLU,Atacante,4.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Everaldo,FLU,Atacante,3.05,0.24,5,,2.0,6.0,,,,,,,,,,,,,,,,,
Serna,FLU,Atacante,5.08,0.73,3,,,1.0,,,3.0,,,,,,,,,,,1.0,,,
Gabriel Fuentes,FLU,Lateral,6.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Nonato,FLU,Meia,5.33,1.1,2,1.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,
Lavega,FLU,Atacante,3.45,0.5,1,,,,,,1.0,,,,,,,,,,,,,,
Titi,FOR,Zagueiro,5.88,5.45,2,,4.0,2.0,,,1.0,,1.0,,,,,,,,,,,,
Lucas Sasha,FOR,Meia,8.15,7.3,4,,19.0,10.0,,,5.0,,,,,1.0,,,,,,,,,
Hércules,FLU,Meia,6.07,2.18,4,1.0,5.0,7.0,,,1.0,,,,1.0,,,,,,,,,1.0,
Riquelme Felipe,FLU,Atacante,5.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Keno,FLU,Atacante,6.81,2.6,3,,1.0,2.0,,,5.0,,,,4.0,1.0,,,,,,,,,
Pol Fernández,FOR,Meia,8.28,4.07,3,1.0,2.0,5.0,,,1.0,,,2.0,,1.0,,,,,,,,,
Marinho,FOR,Atacante,6.85,2.27,3,,,5.0,,,6.0,,,1.0,1.0,,5.0,,,,,,,,
Bruno Pacheco,FOR,Lateral,7.57,2.5,1,,1.0,,,,2.0,,,,,,,,,,,,,,
Yago Pikachu,FOR,Meia,5.49,1.98,5,,5.0,1.0,,,2.0,,,,1.0,1.0,3.0,,,,,,,,
Lezcano,FLU,Meia,4.98,1.0,2,,1.0,,,,1.0,,,,,,,,,,,,,,
Bernal,FLU,Meia,3.78,1.35,4,1.0,2.0,3.0,,,3.0,,,,2.0,1.0,,,,,,,,,
Camilo,GRE,Meia,3.79,2.04,5,,7.0,8.0,,,1.0,,,,2.0,,,,,,,,,,
José Welison,FOR,Meia,3.8,0.73,4,,2.0,2.0,,,1.0,,,,,,,,,,,,,,
Kuscevic,FOR,Zagueiro,5.7,3.14,5,,5.0,6.0,,,,,2.0,,,,,,,,,,,,
Tinga,FOR,Lateral,9.3,7.85,2,,2.0,1.0,,,,,1.0,,,,,1.0,,,,,,,
Vitor Eudes,FLU,Goleiro,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Lucero,FOR,Atacante,7.66,2.04,5,,3.0,3.0,,,3.0,,,,,1.0,1.0,1.0,,,1.0,,,,
David Luiz,FOR,Zagueiro,7.23,3.34,5,1.0,4.0,4.0,,,1.0,,2.0,,3.0,,,,,,,,,,
Brenno,FOR,Goleiro,3.71,-3.0,0,,,,,,,,,,,,,,1.0,,,,,,
Renato Kayzer,VIT,Atacante,4.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Matheus Rossetto,FOR,Meia,4.97,2.33,3,,4.0,,,,2.0,,,,,,,,,,,,,,
Breno Lopes,FOR,Atacante,6.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Mancuso,FOR,Lateral,7.76,4.43,4,1.0,6.0,2.0,,,6.0,,1.0,,3.0,,1.0,,,,,,,,
Borrero,FOR,Atacante,5.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Magrão,FOR,Goleiro,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Praxedes,RBB,Meia,5.0,0.0,0,,,,,,,,,,,,,,,,,,,,
João Pedro,GRE,Lateral,5.77,2.28,4,,7.0,5.0,,,,,,,,1.0,1.0,,,,,,1.0,,
Brítez,FOR,Zagueiro,7.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Emmanuel Martínez,FOR,Meia,6.14,3.83,4,3.0,5.0,7.0,,,5.0,,,,,2.0,,1.0,,,,,,,
Calebe,FOR,Meia,4.32,1.1,3,1.0,1.0,2.0,,,3.0,,,,1.0,1.0,1.0,,,,,,,,
Gastón Ávila,FOR,Zagueiro,7.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Jemerson,GRE,Zagueiro,4.7,2.42,5,2.0,8.0,9.0,,,2.0,,,,1.0,,,,,,,,,1.0,
Edenílson,GRE,Meia,4.84,1.52,5,2.0,,4.0,,,4.0,,,,1.0,,,1.0,,,,,,,
Diogo Barbosa,FOR,Lateral,8.51,6.33,3,,2.0,1.0,,,5.0,,1.0,,1.0,,,1.0,,,,,,,
Lucas Esteves,GRE,Lateral,5.64,2.05,4,,5.0,4.0,,,1.0,,,,3.0,,,,,,,,1.0,,
Kervin Andrade,FOR,Meia,3.57,0.75,2,,1.0,,,,,,,,,,,,,,,,,,
Pavón,GRE,Atacante,4.89,1.73,4,1.0,2.0,2.0,,,3.0,,,,2.0,2.0,,,,,,,,,
Nathan,GRE,Meia,4.0,0.0,0,,,,,,,,,,,,,,,,,,,,
João Lucas,GRE,Lateral,5.14,3.0,1,,2.0,,,,,,,,,,,,,,,,,,
Cristaldo,GRE,Meia,8.05,2.95,4,,4.0,,,,6.0,,,,2.0,1.0,,,,,,,,,
Dodi,GRE,Meia,4.86,2.73,3,1.0,4.0,1.0,,,7.0,,,,,,,,,,,,,,
Cristian Olivera,GRE,Atacante,9.96,8.1,2,1.0,7.0,6.0,,,1.0,,,,,,,1.0,,,,,,,
Mayk,GRE,Lateral,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Natã,JUV,Zagueiro,2.29,1.5,1,,1.0,,,,,,,,,,,,,,,,,,
Kannemann,GRE,Zagueiro,5.05,1.5,1,,1.0,,,,,,,,,,,,,,,,,,
Monsalve,GRE,Meia,4.42,0.63,3,1.0,2.0,6.0,,,1.0,,,,,1.0,,,,,,,,,
Fernando,INT,Meia,7.76,3.63,4,,7.0,2.0,,,2.0,,,,,3.0,,,,,,,,,
Rodrigo Ely,GRE,Zagueiro,4.75,0.6,2,,1.0,1.0,,,,,,,,,,,,,,,,,
Gustavo Martins,GRE,Zagueiro,5.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Cuéllar,GRE,Meia,6.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Ivan,INT,Goleiro,4.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Bruno Henrique,INT,Meia,7.24,3.4,4,,5.0,8.0,,,1.0,,,,,,,1.0,,,,,,,
Rogel,INT,Zagueiro,6.46,4.05,4,,5.0,6.0,,,1.0,,2.0,,,,,,,,,,,,
Aravena,GRE,Atacante,3.73,2.5,2,,1.0,,,,1.0,,,,,,,,,,,,,1.0,
Roger Machado,INT,Técnico,9.79,5.31,5,,,,,,,,,,,,,,,1.0,,,,,
Adriel,GRE,Goleiro,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Arezo,GRE,Atacante,6.65,5.3,3,1.0,,1.0,,,,,,1.0,1.0,3.0,2.0,1.0,,,,,,,
Enner Valencia,INT,Atacante,7.12,3.32,5,,,9.0,,,5.0,,,,3.0,3.0,2.0,1.0,,,,,,1.0,
Rochet,INT,Goleiro,9.26,3.1,1,,,,2.0,,1.0,,,,,,,,,,,,,,
Ronald,GRE,Meia,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Aguirre,INT,Lateral,6.38,4.1,5,,8.0,5.0,,,,,2.0,,,,,,,,,,,,
Vitinho,INT,Atacante,4.93,1.7,5,2.0,6.0,10.0,,,6.0,,,,2.0,,1.0,,,,,,,,
Kaíque Rocha,INT,Zagueiro,5.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Nathan,INT,Lateral,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Anthoni,INT,Goleiro,5.34,3.94,5,,,,9.0,,2.0,3.0,2.0,,,,,,,,,,,,
Bruno Gomes,INT,Lateral,6.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Carbonero,INT,Atacante,4.57,1.93,3,,1.0,4.0,,,8.0,,,,2.0,,1.0,,,,,,,,
Victor Gabriel,INT,Zagueiro,4.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Ronaldo,INT,Meia,3.26,1.06,5,1.0,5.0,8.0,,,,,,,,1.0,,,,,,,,,
Guilherme Lopes,RBB,Lateral,5.65,8.2,1,,2.0,1.0,,,1.0,,1.0,,,,,,,,,,,,
Neto Moura,MIR,Meia,3.19,0.98,5,,4.0,7.0,,,2.0,,,,,,,,,,,,,,
Lucca,INT,Atacante,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Mercado,INT,Zagueiro,6.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Gabriel Grando,GRE,Goleiro,3.83,-3.0,0,,,,,,,,,,,,,,1.0,,,,,,
Bruno Tabata,INT,Meia,5.78,3.33,3,,4.0,1.0,,,3.0,,,,2.0,1.0,,,,,,,,,
Ricardo Mathias,INT,Atacante,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Rodrigo Sam,JUV,Zagueiro,4.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Wilker Ángel,JUV,Zagueiro,3.55,-0.55,2,1.0,,3.0,,,,,,,1.0,,,,,,,,,,
Clayton Sampaio,INT,Zagueiro,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Adriano Martins,JUV,Zagueiro,6.04,2.8,4,1.0,4.0,3.0,,,1.0,,1.0,,2.0,,,,,,,,,,
Jadson,JUV,Meia,7.4,4.98,5,1.0,12.0,7.0,,,8.0,,,1.0,1.0,1.0,,,,,,,1.0,,
Dudu Vieira,JUV,Meia,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Alan Ruschel,JUV,Lateral,6.58,5.55,2,,4.0,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,
Ramon,INT,Lateral,6.24,3.85,2,1.0,2.0,1.0,,,2.0,,1.0,,,,,,,,,,,,
Fábio Matias,JUV,Técnico,6.55,4.94,5,,,,,,,,,,,,,,,2.0,,,,,
Luis Mandaca,JUV,Meia,6.36,5.02,5,,7.0,7.0,,,11.0,,,,4.0,,,1.0,,,,,,,
Jean Carlos,JUV,Meia,5.4,1.7,3,,2.0,2.0,,,,,,,2.0,1.0,1.0,,,,,,,,
Marcos Paulo,JUV,Lateral,1.73,0.0,1,,,,,,,,,,,,,,,,,,,,
Abner,JUV,Zagueiro,5.42,3.48,5,,4.0,1.0,,,2.0,,1.0,1.0,1.0,,1.0,,,,,,,,
Walter,MIR,Goleiro,6.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Gabriel Taliari,JUV,Atacante,10.44,8.27,4,,2.0,6.0,,,6.0,,,1.0,2.0,3.0,3.0,2.0,,,,,,1.0,
Reginaldo,JUV,Lateral,3.68,2.5,2,,,,,,,,1.0,,,,,,,,,,,,
Caíque,JUV,Meia,4.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Daniel Borges,MIR,Lateral,5.5,5.77,3,1.0,2.0,4.0,,,1.0,,,,,,,2.0,,,,,,,
Alex Muralha,MIR,Goleiro,2.77,1.88,5,1.0,,,13.0,,1.0,7.0,,,,,,,,,,,,,
Batalla,JUV,Atacante,6.54,4.04,5,2.0,1.0,7.0,,,10.0,,,1.0,3.0,2.0,,1.0,,,,,,,
Petterson,JUV,Atacante,2.46,1.95,2,,1.0,,,,,,,,3.0,,,,,,,,,,
Gabriel,MIR,Meia,6.22,4.7,3,,2.0,,,,2.0,,,,,1.0,1.0,1.0,,,,1.0,,,
Léo Gamalho,MIR,Atacante,4.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Zé Ivaldo,SAN,Zagueiro,6.31,4.64,5,2.0,7.0,8.0,,,2.0,,1.0,,4.0,,1.0,1.0,,,,,,,
Cipriano,JUV,Zagueiro,4.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Davi Góes,JUV,Meia,2.25,0.0,2,,,,,,,,,,,,,,,,,,,,
David Braz,MIR,Zagueiro,5.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Chico Kim,MIR,Meia,5.34,5.9,1,,3.0,1.0,,,1.0,,,,,1.0,,,,,,,,,
João Victor,MIR,Zagueiro,1.7,0.74,5,1.0,2.0,4.0,,,2.0,,,,1.0,1.0,1.0,,,,,,,,
Lucas Ramon,MIR,Lateral,8.68,8.1,4,,11.0,3.0,,,6.0,,,1.0,1.0,,,1.0,,,,,,,
Luiz Otávio,MIR,Zagueiro,4.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Negueba,MIR,Atacante,3.65,2.35,2,1.0,2.0,2.0,,,5.0,,,,1.0,,,,,,,,,,
Matheus Sales,MIR,Meia,4.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Marcelo Lomba,PAL,Goleiro,7.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Rafa Silva,MIR,Atacante,4.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Thomazella,MIR,Goleiro,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Felipe Anderson,PAL,Meia,7.0,3.0,5,,8.0,6.0,,,2.0,,,,1.0,,,,,,,,,1.0,
José Aldo,MIR,Meia,3.18,1.85,4,1.0,5.0,5.0,,,1.0,,,,1.0,1.0,1.0,,,,,,,,
Davó,MIR,Atacante,4.46,4.3,2,,1.0,,,,1.0,,,1.0,2.0,,,,,,,,,,
Gustavo Gómez,PAL,Zagueiro,10.45,4.03,3,2.0,2.0,3.0,,,2.0,,2.0,,,1.0,2.0,,,,,,,,
Danielzinho,MIR,Meia,5.91,4.9,5,,6.0,6.0,,,11.0,,,1.0,2.0,1.0,,,,,,1.0,,1.0,
Iury Castilho,MIR,Atacante,6.33,3.36,5,1.0,2.0,5.0,,,16.0,,,,1.0,,5.0,1.0,,,,,,,
Richard Ríos,PAL,Meia,10.92,6.75,4,2.0,9.0,11.0,,,12.0,,,2.0,2.0,1.0,,,,,,,,,
Bruno Fuchs,PAL,Zagueiro,6.67,3.83,4,2.0,2.0,4.0,,,1.0,,3.0,,,,,,,,,,,,
Clayson,MIR,Atacante,5.78,1.96,5,2.0,1.0,4.0,,,7.0,,,1.0,1.0,2.0,2.0,,,,,,,,
Roni,MIR,Meia,2.41,0.25,2,1.0,1.0,,,,,,,,,,,,,,,,,,
Facundo Torres,PAL,Atacante,12.92,7.68,5,1.0,7.0,3.0,,,3.0,,,1.0,1.0,3.0,1.0,2.0,,,,,,1.0,
Emiliano Martínez,PAL,Meia,6.07,4.56,5,1.0,10.0,5.0,,,3.0,,,,1.0,,,1.0,,,,,,,
Lucas Barbosa,RBB,Atacante,6.99,3.72,5,,6.0,9.0,,,3.0,,,1.0,3.0,3.0,2.0,,,,,,,,
Giay,PAL,Lateral,9.28,7.7,5,,14.0,7.0,,,6.0,,3.0,,2.0,,,,,,,,,,
Aníbal Moreno,PAL,Meia,4.33,1.28,4,,3.0,2.0,,,,,,,,1.0,,,,,,,,,
Estêvão,PAL,Atacante,10.96,2.44,5,1.0,1.0,8.0,,,11.0,,,1.0,5.0,,4.0,,,,,,,,
Mayke,PAL,Lateral,9.38,8.1,1,1.0,3.0,3.0,,,1.0,,1.0,,,,,,,,,,,,
Naves,PAL,Zagueiro,3.19,-1.0,1,,,,,,,,,,,,,,,,,,1.0,,
Marcos Rocha,PAL,Lateral,7.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Bruno Rodrigues,PAL,Atacante,6.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Abel Ferreira,PAL,Técnico,13.02,7.41,5,,,,,,,,,,,,,,,4.0,,,,,
Maurício,PAL,Meia,11.1,0.4,2,,,,,,,,,,1.0,,,,,,,,,,
Gabriel,RBB,Meia,5.72,3.7,4,1.0,11.0,9.0,,,4.0,,,,,,,,,,,,,,
Pedro Henrique,RBB,Zagueiro,8.95,6.46,5,,10.0,4.0,,,3.0,,3.0,,1.0,1.0,,,,,,,,,
Eric Ramires,RBB,Meia,7.34,4.52,5,,8.0,4.0,,,2.0,,,,2.0,1.0,,1.0,,,,,,,
Flaco López,PAL,Atacante,10.65,6.53,4,,5.0,7.0,,,4.0,,,,1.0,1.0,3.0,2.0,,,,1.0,,,
Eduardo Sasha,RBB,Atacante,9.68,5.82,5,,1.0,2.0,,,6.0,,,1.0,4.0,5.0,,1.0,,,,,,1.0,
Vanderlan,PAL,Lateral,3.77,1.2,1,,1.0,1.0,,,,,,,,,,,,,,,,,
Cleiton,RBB,Goleiro,8.64,6.45,4,1.0,,,16.0,,,4.0,2.0,,,,,,,,,,,,
Thalys,PAL,Atacante,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Mateus,PAL,Goleiro,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Lucão,RBB,Goleiro,6.09,8.9,1,,,,3.0,,,,1.0,,,,,,,,,,,,
Fabrício,RBB,Goleiro,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Laquintana,RBB,Atacante,4.5,5.45,2,,1.0,,,,,,,,2.0,,2.0,1.0,,,,,,,
Allan,PAL,Meia,3.97,4.0,2,,5.0,,,,1.0,,,,,,,,,,,,,,
Eduardo Santos,RBB,Zagueiro,8.38,8.0,2,,4.0,,,,,,2.0,,,,,,,,,,,,
Jhon Jhon,RBB,Meia,8.3,5.24,5,1.0,3.0,3.0,,,10.0,,,1.0,4.0,2.0,,1.0,,,,,,,
Douglas Mendes,RBB,Zagueiro,4.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Guzmán Rodríguez,RBB,Zagueiro,6.77,4.48,5,1.0,4.0,2.0,,,2.0,,3.0,,1.0,1.0,,,,,,,,,
Fernando,RBB,Atacante,5.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Isidro Pitta,RBB,Atacante,6.5,1.57,4,1.0,,6.0,,,,,,,,1.0,1.0,1.0,,,,,,,
Matheus Fernandes,RBB,Meia,5.85,2.9,3,1.0,7.0,6.0,,,2.0,,,,,,,,,,,,,,
Gil,SAN,Zagueiro,5.48,2.3,5,2.0,6.0,6.0,,,1.0,,1.0,,1.0,,,,,,,,,,
Thiago Borbas,RBB,Atacante,1.88,-0.55,2,1.0,,2.0,,,1.0,,,,,,,,,,,,,,
Raúl Cáceres,VIT,Lateral,1.89,-1.9,1,1.0,,3.0,,,,,,,,,,,,,,,,,
Henry Mosquera,RBB,Atacante,4.13,2.46,5,,3.0,3.0,,,4.0,,,,1.0,5.0,1.0,,,,,,,,
Escobar,SAN,Lateral,11.07,9.56,5,,28.0,9.0,,,7.0,,1.0,,,,,,,,,,,,
Nathan Mendes,RBB,Lateral,4.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Andrés Hurtado,RBB,Lateral,7.66,6.44,5,,10.0,8.0,,,2.0,,3.0,,3.0,1.0,,,,,,,,,
João Schmidt,SAN,Meia,4.87,2.32,5,2.0,10.0,12.0,,,3.0,,,,1.0,,1.0,,,,,,,,
Gustavinho,RBB,Meia,2.65,0.2,3,,1.0,3.0,,,,,,,,,,,,,,,,,
Vinicinho,RBB,Atacante,6.02,3.4,5,,7.0,2.0,,,8.0,,,,1.0,2.0,1.0,,,,,,,,
Sant'Anna,RBB,Lateral,6.53,7.7,1,,,1.0,,,,,1.0,,,,,,,,,,,1.0,
Luan Peres,SAN,Zagueiro,6.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Aderlan,SAN,Lateral,5.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Fernando Seabra,RBB,Técnico,9.25,7.52,5,,,,,,,,,,,,,,,3.0,,,,,
Gabriel Brazão,SAN,Goleiro,4.68,3.02,5,,1.0,,12.0,,,7.0,1.0,,,,,,,,,,,,
Julio Furch,SAN,Atacante,4.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Rincón,SAN,Meia,5.19,2.3,1,,1.0,,,,,,,,1.0,,,,,,,,,,
João Basso,SAN,Zagueiro,5.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Diego Pituca,SAN,Meia,4.46,1.76,5,1.0,,,,,2.0,,,,1.0,,,1.0,,,,,,,
João Paulo,SAN,Goleiro,6.19,-1.0,0,1.0,,,,,,,,,,,,,,,,,,,
Barreal,SAN,Meia,10.11,8.55,4,,9.0,3.0,,,5.0,,,,1.0,2.0,1.0,2.0,,,,,,,
Luisão,SAN,Zagueiro,4.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Diógenes,SAN,Goleiro,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Rafael,SAO,Goleiro,10.67,5.72,5,1.0,,,17.0,,3.0,4.0,2.0,,,,,,,,,,,,
Miguelito,SAN,Meia,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Thaciano,SAN,Meia,5.74,2.56,5,,1.0,,,,1.0,,,,2.0,1.0,,1.0,,,,,,,
Leo Godoy,SAN,Lateral,5.38,4.0,3,1.0,5.0,5.0,,,4.0,,1.0,,,,,,,,,,,,
Deivid Washington,SAN,Atacante,3.68,0.4,4,,,1.0,,,4.0,,,,,,1.0,,,,,,,,
Gabriel Veron,SAN,Atacante,4.36,0.97,4,,2.0,1.0,,,1.0,,,,1.0,,1.0,,,,,,,,
Gabriel Bontempo,SAN,Meia,7.3,6.32,5,,13.0,1.0,,,10.0,,,1.0,3.0,,,,,,,,,,
Cédric Soares,SAO,Lateral,8.21,4.22,4,,4.0,2.0,,,3.0,,1.0,1.0,,,,,,,,,,,
Alisson,SAO,Meia,4.5,0.9,5,2.0,2.0,6.0,,,5.0,,,,2.0,1.0,,,,,,,,,
Luciano,SAO,Atacante,7.93,1.8,4,,1.0,3.0,,,4.0,,,,3.0,1.0,,,,,,1.0,,,
Jandrei,SAO,Goleiro,5.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Vinicius Lira,SAN,Lateral,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Alan Franco,SAO,Zagueiro,7.1,3.5,4,1.0,3.0,3.0,,,3.0,,2.0,,,,1.0,,,,,,,,
Igor Vinícius,SAO,Lateral,7.33,3.35,2,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,
Luiz Gustavo,SAO,Meia,10.73,9.6,1,,4.0,4.0,,,2.0,,,,1.0,,,,,,,,,1.0,
Ferreira,SAO,Atacante,11.33,9.14,5,2.0,7.0,4.0,,,11.0,,,1.0,5.0,,1.0,3.0,,,,,,,
Erick,VIT,Atacante,6.11,4.36,5,,3.0,1.0,,,12.0,,,2.0,2.0,,,,,,,,,,
Luan Vinícius,SAO,Meia,5.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Kevyson,SAN,Lateral,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
JP Chermont,SAN,Lateral,6.41,4.55,4,2.0,11.0,8.0,,,1.0,,1.0,,1.0,,2.0,,,,,,,,
Sabino,SAO,Zagueiro,5.74,3.2,2,1.0,,5.0,,,3.0,,1.0,,,2.0,,,,,,,,,
Carlos Eduardo,VIT,Atacante,4.02,1.5,1,,1.0,,,,,,,,,,,,,,,,,,
Ruan,SAO,Zagueiro,6.05,2.63,3,,2.0,2.0,,,1.0,,1.0,,,,,,,,,,,,
Marcos Antônio,SAO,Meia,3.6,1.5,5,2.0,3.0,6.0,,,8.0,,,,2.0,1.0,,,,,,,,,
Wendell,SAO,Lateral,9.7,4.2,4,,3.0,4.0,,,7.0,,2.0,,,,,,,,,,,,
Liziero,SAO,Meia,5.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Bobadilla,SAO,Meia,4.93,0.45,2,,1.0,2.0,,,,,,,,,,,,,,,,,
Rodriguinho,SAO,Meia,1.64,-1.15,2,2.0,,1.0,,,,,,,,,,,,,,,,,
André Silva,SAO,Atacante,8.63,6.04,5,2.0,4.0,2.0,,,4.0,,,1.0,2.0,2.0,2.0,2.0,,,,,,,
Ferraresi,SAO,Zagueiro,7.31,3.97,3,,4.0,2.0,,,3.0,,1.0,,,,,,,,,,,,
Felipe Negrucci,SAO,Meia,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Enzo Díaz,SAO,Lateral,7.89,4.4,5,2.0,9.0,6.0,,,2.0,,2.0,,3.0,,1.0,,,,,,1.0,,
Antônio Carlos,SPT,Zagueiro,4.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Young,SAO,Goleiro,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Lucas Lima,SPT,Meia,5.49,2.66,5,2.0,3.0,10.0,,,9.0,,,1.0,1.0,3.0,1.0,,,,,,,,
Romarinho,SPT,Atacante,3.47,0.0,1,,,,,,,,,,,,,,,,,,,,
Ryan Francisco,SAO,Atacante,2.47,0.5,2,,,,,,2.0,,,,,,,,,,,,,,
Gonçalo Paciência,SPT,Atacante,7.96,2.1,1,,,,,,1.0,,,,2.0,,,,,,,,,,
Hyoran,SPT,Meia,5.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Pablo Maia,SAO,Meia,8.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Caíque França,SPT,Goleiro,5.48,3.72,5,1.0,,,17.0,,1.0,8.0,1.0,,,,,,,,,,,,
Zé Roberto,SPT,Atacante,6.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Patryck,SAO,Lateral,4.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Rafael Thyere,SPT,Zagueiro,5.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Thiago Couto,SPT,Goleiro,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Chrystian Barletta,SPT,Atacante,6.72,5.2,5,,5.0,4.0,,,2.0,,,,3.0,2.0,1.0,1.0,,,,,,2.0,
Igor Cariús,SPT,Lateral,7.06,6.4,2,,4.0,2.0,,,5.0,,1.0,,,,1.0,,,,,,,,
Pablo,SPT,Atacante,5.98,1.2,3,1.0,1.0,3.0,,,7.0,,,,1.0,,3.0,,,,,,,,
Hereda,SPT,Lateral,6.5,5.06,5,,6.0,4.0,,,8.0,,1.0,1.0,3.0,1.0,1.0,,,,,,,,
Di Placido,SPT,Lateral,4.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Chico,SPT,Zagueiro,5.95,4.0,5,1.0,10.0,2.0,,,2.0,,1.0,,2.0,,,,,,,,1.0,,
Titi Ortíz,SPT,Meia,6.47,2.95,2,,,1.0,,,,,,,1.0,2.0,,,,,,,,1.0,
Pepa,SPT,Técnico,6.38,4.1,5,,,,,,,,,,,,,,,,,,,,
Carlos Alberto,SPT,Atacante,3.94,1.42,4,,4.0,1.0,,,,,,,,,,,,,,,,,
Dalbert,SPT,Lateral,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,
